Product_ID,Category,Sub_Category,Description_EN,Production_Cost
1,Feminine,Coats and Blazers,Sports Velvet Sports With Buttons,10.73
2,Feminine,Sweaters and Knitwear,Luxurious Pink Denim With Buttons,19.55
3,Feminine,Dresses and Jumpsuits,Black Tricot Printed Tricot,25.59
4,Feminine,Shirts and Blouses,Basic Cotton Blouse,27.62
5,Feminine,T-shirts and Tops,Basic Cotton T-Shirt,11.69
6,Feminine,Pants and Jeans,Female Skinny Jeans,6.7
7,Feminine,Skirts and Shorts,Midi Plissada Women Skirt,9.11
8,Feminine,Suits and Sets,Midi Blouse And Skirt Set,14.37
9,Feminine,Sportswear,Women'S Sweatshirt Set,29.04
10,Feminine,Lingerie and Pajamas,Sketch,16.5
11,Feminine,Accessories,Women'S Leather Bag,1.9
12,Masculine,Coats and Blazers,Boho Yellow Lace With Hood,33.22
13,Masculine,Sweaters and Sweatshirts,Casual Red Tricot With Zipper,15.8
14,Masculine,T-shirts and Polos,Boho Jacquard Branco Com Glitter,8.36
15,Masculine,Shirts,Men'S Social Shirt,6.87
16,Masculine,Pants and Jeans,Jeans Masculino Skinny,23.87
17,Masculine,Suits and Blazers,Classic Men'S Blazer Of Tailoring,40.81
18,Masculine,Sportswear,Men'S Dry Fit Training T -Shirt,21.7
19,Masculine,Underwear and Pajamas,Comfortable Men'S Boxer,14.58
20,Masculine,Accessories,Men'S Wrist Watch With Leather Bracelet,3.85
21,Children,Baby (0-12 months),Turquoise Casual With Glitter,11.21
22,Children,"Girl and Boy (1-5 years, 6-14 years)",Boho Jacquard Rosa Com Franjas,7.41
23,Children,Coats,Punk Linel Line Smooth,12.56
24,Children,Sweaters,Children'S Cotton Jersey With Fun Print,13.46
25,Children,Pajamas,Children'S Cotton Pajama With Stars Print,13.83
26,Children,Accessories,Printed Children'S Cap With Size Adjustment,5.37
27,Feminine,Coats and Blazers,Executive Lilac Jeans,20.37
28,Feminine,Sweaters and Knitwear,Sports Pink Wool,28.09
29,Feminine,Dresses and Jumpsuits,Classic White Suede With Ruffles,20.79
30,Feminine,Shirts and Blouses,Women'S Social Shirt,8.55
31,Feminine,T-shirts and Tops,Cropped Knitted Top,1.86
32,Feminine,Pants and Jeans,Women'S Flare Pants,42.43
33,Feminine,Skirts and Shorts,Printed Long Skirt,2.76
34,Feminine,Suits and Sets,Female Tailoring Fact,27.84
35,Feminine,Sportswear,Female Compression Legging,6.5
36,Feminine,Lingerie and Pajamas,Feminin Silk Shirt,11.43
37,Feminine,Accessories,Women'S Hoop Earring,8.07
38,Masculine,Coats and Blazers,Classic Green Denim With Bow,23.29
39,Masculine,Sweaters and Sweatshirts,Casual Red Suede With Loop,5.24
40,Masculine,T-shirts and Polos,Luxurious Gold Nylon With Zipper,8.45
41,Masculine,Shirts,Men'S Polo Shirt,8.13
42,Masculine,Pants and Jeans,Slim Fit Men'S Pants,13.28
43,Masculine,Suits and Blazers,Slim Fit Male Fact With Standard Collar,64.21
44,Masculine,Sportswear,Men'S Running Shorts With Quick Drying Technology,22.16
45,Masculine,Underwear and Pajamas,Men'S Microfiber Slip Underwear,6.55
46,Masculine,Accessories,Leather Belt With Silver Metal Buckle,1.65
47,Children,Baby (0-12 months),Vintage Lilac Satin With Zipper,13.27
48,Children,"Girl and Boy (1-5 years, 6-14 years)",Casual Jacquard Neutral Embroidery,4.98
49,Children,Coats,Stripped Jacquard Padded Mustard,30.87
50,Children,Sweaters,Children'S Sweatshirt With Hood,10.55
51,Children,Pajamas,Children'S Flannel Pajama With Traditional Chess,20.5
52,Children,Accessories,Children'S Backpack With Fun Characters,1.76
53,Feminine,Coats and Blazers,Smoked Green Leather Boho,32.53
54,Feminine,Sweaters and Knitwear,Stripped White Silk With Zipper,24.84
55,Feminine,Dresses and Jumpsuits,High-Tech Blue Cotton With Loop,13.71
56,Feminine,Shirts and Blouses,Long -Sleeved Lace Blouse,8.89
57,Feminine,T-shirts and Tops,T-Shirt With Bandana Print,4.75
58,Feminine,Pants and Jeans,Mom Fit Jeans,20.75
59,Feminine,Skirts and Shorts,Short Cotton Skirt,16.26
60,Feminine,Suits and Sets,Blouse And Flare Pants Set,15.8
61,Feminine,Sportswear,Sports Top With Support,11.1
62,Feminine,Lingerie and Pajamas,Body Lingerie Sensual,5.53
63,Feminine,Accessories,Precious Stone Necklace,4.8
64,Masculine,Coats and Blazers,Luxurious Neutral Suede With Hood,12.02
65,Masculine,Sweaters and Sweatshirts,Classic Green Lace Stamped,22.56
66,Masculine,T-shirts and Polos,High-Tech Silver Linen Embroidered,2.6
67,Masculine,Shirts,Casual Short Sleeve Shirt,14.08
68,Masculine,Pants and Jeans,Men'S Jeans With Dark Wash,28.01
69,Masculine,Suits and Blazers,Men'S Blazer With Lapel Details,19.2
70,Masculine,Sportswear,Men'S Sweatshirt Pants,19.88
71,Masculine,Underwear and Pajamas,Men'S Cotton T -Shirt,6.57
72,Masculine,Accessories,Men'S Leather Wallet,6.41
73,Children,Baby (0-12 months),Beige Nylon Executive With,11.08
74,Children,"Girl and Boy (1-5 years, 6-14 years)",Punk Lace Mustard With Fringes,8.11
75,Children,Coats,Golden Satin Executive With Fringes,6.73
76,Children,Sweaters,Children'S Jersey With Animated Characters,12.33
77,Children,Pajamas,Children'S Pajama With A Hood,12.52
78,Children,Accessories,Colorful Socks For Children,2.0
79,Feminine,Coats and Blazers,Striking Beige Cotton With Pockets,9.89
80,Feminine,Sweaters and Knitwear,Gold Polyester Streetwear With Buttons,15.31
81,Feminine,Dresses and Jumpsuits,Smooth Yellow Silk,9.31
82,Feminine,Shirts and Blouses,Women'S Denim Shirt,6.72
83,Feminine,T-shirts and Tops,Thin,10.44
84,Feminine,Pants and Jeans,Women'S Straight Jeans,21.14
85,Feminine,Skirts and Shorts,Synthetic Leather Skirt,15.26
86,Feminine,Suits and Sets,Sweet And Short Skirt,52.4
87,Feminine,Sportswear,Women'S Running Jacket,25.05
88,Feminine,Lingerie and Pajamas,Women'S Cotton Pajamas,17.84
89,Feminine,Accessories,Printed Silk Scarf,7.04
90,Masculine,Coats and Blazers,Boho Suede Pink With Glitter,28.48
91,Masculine,Sweaters and Sweatshirts,Luxurious Neutral Velvet With Buttons,21.63
92,Masculine,T-shirts and Polos,Formal Turquess Silk Padded,4.62
93,Masculine,Shirts,Men'S Plaid Shirt,4.42
94,Masculine,Pants and Jeans,Men'S Pants With Side Pockets,4.56
95,Masculine,Suits and Blazers,Male Fact Of 3 Pieces With Slim Tie,45.43
96,Masculine,Sportswear,Men'S Jacket Running With Total Zipper,13.37
97,Masculine,Underwear and Pajamas,Men'S Long Sleeve Pajamas With Pants,18.51
98,Masculine,Accessories,Male Sunglasses With Metal Frame,7.15
99,Children,Baby (0-12 months),Punk White Satin With Glitter,11.15
100,Children,"Girl and Boy (1-5 years, 6-14 years)",Classic Gold Suede With Buttons,21.91
101,Children,Coats,Lilac Silk Retro With Lace,30.53
102,Children,Sweaters,High Collar Kids Jersey,17.83
103,Children,Pajamas,Children'S Mesh Pajamas With Dinosaur Print,11.41
104,Children,Accessories,Pompon,7.04
105,Feminine,Coats and Blazers,Casual Yellow Wool With Pockets,26.81
106,Feminine,Sweaters and Knitwear,Stripped Turquoise With Glitter,11.18
107,Feminine,Dresses and Jumpsuits,Streetwear Golden Linho,32.04
108,Feminine,Shirts and Blouses,Shoulder -To -Shoulder Gypsy Blouse,19.77
